Replicate,File Name,Acquired Time,Group,SampleGroup,Replicates,Run Order,Group Order
2014_12_1,PRM_2014_12_1.raw,12/10/2014 3:40:24 PM,2014,System Suitability,1,1,1
2014_12_2,PRM_2014_12_2.raw,12/10/2014 4:48:49 PM,2014,System Suitability,2,2,2
2014_12_3,PRM_2014_12_3.raw,12/10/2014 5:57:12 PM,2014,System Suitability,3,3,3
2014_12_4,PRM_2014_12_4.raw,12/10/2014 7:05:36 PM,2014,System Suitability,4,4,4
2014_12_5,PRM_2014_12_5.raw,12/10/2014 8:14:01 PM,2014,System Suitability,5,5,5
2014_12_6,PRM_2014_12_6.raw,12/10/2014 9:22:26 PM,2014,System Suitability,6,6,6
2014_12_7,PRM_2014_12_7.raw,12/10/2014 10:30:54 PM,2014,System Suitability,7,7,7
2014_12_8,PRM_2014_12_8.raw,12/10/2014 11:39:19 PM,2014,System Suitability,8,8,8
2014_12_9,PRM_2014_12_9.raw,12/11/2014 12:47:44 AM,2014,System Suitability,9,9,9
2014_12_10,PRM_2014_12_10.raw,12/11/2014 1:56:09 AM,2014,System Suitability,10,10,10
2015_4_1,PRM_2015_4_1.raw,4/8/2015 4:05:29 PM,2015,System Suitability,1,11,1
2015_4_2,PRM_2015_4_2.raw,4/8/2015 5:13:54 PM,2015,System Suitability,2,12,2
2015_4_3,PRM_2015_4_3.raw,4/8/2015 6:22:19 PM,2015,System Suitability,3,13,3
2015_4_4,PRM_2015_4_4.raw,4/8/2015 7:30:45 PM,2015,System Suitability,4,14,4
2015_4_5,PRM_2015_4_5.raw,4/8/2015 8:39:10 PM,2015,System Suitability,5,15,5
2015_4_6,PRM_2015_4_6.raw,4/8/2015 9:47:36 PM,2015,System Suitability,6,16,6
2015_4_7,PRM_2015_4_7.raw,4/9/2015 4:21:20 AM,2015,System Suitability,7,17,7
2015_4_8,PRM_2015_4_8.raw,4/9/2015 5:29:45 AM,2015,System Suitability,8,18,8
2015_4_9,PRM_2015_4_9.raw,4/9/2015 6:38:10 AM,2015,System Suitability,9,19,9
2015_4_10,PRM_2015_4_10.raw,4/9/2015 10:16:01 AM,2015,System Suitability,10,20,10
2015_4_11,PRM_2015_4_11.raw,4/9/2015 11:23:56 AM,2015,System Suitability,11,21,11
2015_4_12,PRM_2015_4_12.raw,4/9/2015 12:32:21 PM,2015,System Suitability,12,22,12
2016_2_1,PRM_2016_2_1.raw,2/22/2016 4:43:39 PM,2016-1,System Suitability,1,23,1
2016_2_2,PRM_2016_2_2.raw,2/22/2016 6:11:05 PM,2016-1,System Suitability,2,24,2
2016_2_3,PRM_2016_2_3.raw,2/22/2016 7:38:29 PM,2016-1,System Suitability,3,25,3
2016_2_4,PRM_2016_2_4.raw,2/22/2016 9:05:56 PM,2016-1,System Suitability,4,26,4
2016_2_5,PRM_2016_2_5.raw,2/22/2016 10:33:20 PM,2016-1,System Suitability,5,27,5
2016_2_6,PRM_2016_2_6.raw,2/23/2016 6:08:09 AM,2016-1,System Suitability,6,28,6
2016_2_7,PRM_2016_2_7.raw,2/23/2016 7:35:35 AM,2016-1,System Suitability,7,29,7
2016_2_8,PRM_2016_2_8.raw,2/23/2016 9:03:01 AM,2016-1,System Suitability,8,30,8
2016_2_9,PRM_2016_2_9.raw,2/23/2016 10:30:27 AM,2016-1,System Suitability,9,31,9
2016_2_10,PRM_2016_2_10.raw,2/23/2016 11:57:53 AM,2016-1,System Suitability,10,32,10
2016_3_1,PRM_2016_3_1.raw,3/24/2016 7:47:28 PM,2016-2,System Suitability,1,33,1
2016_3_2,PRM_2016_3_2.raw,3/24/2016 8:50:23 PM,2016-2,System Suitability,2,34,2
2016_3_3,PRM_2016_3_3.raw,3/24/2016 9:53:46 PM,2016-2,System Suitability,3,35,3
2016_3_4,PRM_2016_3_4.raw,3/24/2016 10:57:12 PM,2016-2,System Suitability,4,36,4
2016_3_5,PRM_2016_3_5.raw,3/25/2016 12:00:37 AM,2016-2,System Suitability,5,37,5
