Replicate,File Name,Acquired Time,Group,SampleGroup,Replicates,Run Order,Group Order
1BD01,1BD01.raw,1/24/2021 10:28:32 PM,Sample,1BD,1,11,1
1BD02,1BD02.raw,1/26/2021 7:57:49 AM,Sample,1BD,2,25,2
1BD03,1BD03.raw,1/26/2021 4:55:54 PM,Sample,1BD,3,29,3
1BD04,1BD04.raw,1/25/2021 7:25:49 AM,Sample,1BD,4,15,4
1BD05,1BD05.raw,1/24/2021 12:28:13 AM,Sample,1BD,5,6,5
1BD06,1BD06.raw,1/24/2021 12:27:58 PM,Sample,1BD,6,7,6
1BD07,1BD07.raw,1/23/2021 1:18:45 PM,Sample,1BD,7,1,7
1BD08,1BD08.raw,1/25/2021 3:12:48 PM,Sample,1BD,8,18,8
2BD01,2BD01.raw,1/25/2021 9:40:07 AM,Sample,2BD,1,16,9
2BD02,2BD02.raw,1/25/2021 12:42:46 AM,Sample,2BD,2,12,10
2BD03,2BD03.raw,1/25/2021 7:41:33 PM,Sample,2BD,3,20,11
2BD04,2BD04.raw,1/23/2021 8:00:24 PM,Sample,2BD,4,4,12
2BD05,2BD05.raw,1/26/2021 10:12:25 AM,Sample,2BD,5,26,13
2BD06,2BD06.raw,1/24/2021 8:14:25 PM,Sample,2BD,6,10,14
2BD07,2BD07.raw,1/26/2021 2:41:25 PM,Sample,2BD,7,28,15
2BD08,2BD08.raw,1/24/2021 6:00:07 PM,Sample,2BD,8,9,16
ISD01,ISD01.raw,1/25/2021 12:58:28 PM,Sample,ISD,1,17,17
ISD02,ISD02.raw,1/26/2021 12:26:58 PM,Sample,ISD,2,27,18
ISD03,ISD03.raw,1/24/2021 2:42:10 PM,Sample,ISD,3,8,19
ISD04,ISD04.raw,1/26/2021 9:24:57 PM,Sample,ISD,4,31,20
ISD05,ISD05.raw,1/23/2021 3:32:40 PM,Sample,ISD,5,2,21
ISD06,ISD06.raw,1/23/2021 10:14:13 PM,Sample,ISD,6,5,22
ISD07,ISD07.raw,1/25/2021 5:27:07 PM,Sample,ISD,7,19,23
ISD08,ISD08.raw,1/26/2021 2:25:02 AM,Sample,ISD,8,23,24
STR01,STR01.raw,1/25/2021 5:11:31 AM,Sample,STR,1,14,25
STR02,STR02.raw,1/25/2021 2:57:11 AM,Sample,STR,2,13,26
STR03,STR03.raw,1/26/2021 4:39:25 AM,Sample,STR,3,24,27
STR04,STR04.raw,1/26/2021 12:10:30 AM,Sample,STR,4,22,28
STR05,STR05.raw,1/25/2021 9:56:01 PM,Sample,STR,5,21,29
STR06,STR06.raw,1/26/2021 7:10:27 PM,Sample,STR,6,30,30
STR07,STR07.raw,1/26/2021 11:39:25 PM,Sample,STR,7,32,31
STR08,STR08.raw,1/23/2021 5:46:32 PM,Sample,STR,8,3,32
