Replicate,File Name,Acquired Time,Group,SampleGroup,ForFigure
01,IQC01.raw,8/16/2021 10:13:24 PM,Batch1,Sample,True
02,IQC02.raw,8/17/2021 12:28:12 AM,Batch1,Sample,False
03,IQC03.raw,8/17/2021 2:42:54 AM,Batch1,Sample,True
04,IQC04.raw,8/17/2021 4:57:49 AM,Batch1,Sample,False
05,IQC05.raw,8/17/2021 7:12:38 AM,Batch1,Sample,True
06,IQC06.raw,8/17/2021 9:27:39 AM,Batch1,Sample,False
07,IQC07.raw,8/17/2021 11:42:51 AM,Batch1,Sample,True
08,IQC08.raw,8/17/2021 1:58:02 PM,Batch1,Sample,False
09,IQC09.raw,8/17/2021 5:17:43 PM,Batch1,Sample,True
10,IQC10.raw,8/17/2021 7:32:57 PM,Batch1,Sample,False
11,IQC11.raw,8/17/2021 9:48:09 PM,Batch1,Sample,True
12,IQC12.raw,8/18/2021 12:03:26 AM,Batch1,Sample,False
13,IQC13.raw,8/18/2021 2:18:48 AM,Batch1,Sample,True
14,IQC14.raw,8/18/2021 4:34:06 AM,Batch1,Sample,False
15,IQC15.raw,8/18/2021 6:49:27 AM,Batch1,Sample,True
16,IQC16.raw,8/18/2021 9:04:55 AM,Batch1,Sample,False
17,IQC17.raw,10/12/2021 9:29:00 PM,Batch2,Sample,True
18,IQC18.raw,10/12/2021 11:43:43 PM,Batch2,Sample,False
19,IQC19.raw,10/13/2021 1:58:30 AM,Batch2,Sample,True
20,IQC20.raw,10/13/2021 4:13:19 AM,Batch2,Sample,False
21,IQC21.raw,10/13/2021 6:28:11 AM,Batch2,Sample,True
22,IQC22.raw,10/13/2021 8:43:09 AM,Batch2,Sample,False
23,IQC23.raw,10/13/2021 10:58:14 AM,Batch2,Sample,True
24,IQC24.raw,10/29/2021 7:31:19 PM,Batch3,Sample,True
25,IQC25.raw,10/29/2021 9:45:46 PM,Batch3,Sample,False
26,IQC26.raw,10/30/2021 12:00:25 AM,Batch3,Sample,True
27,IQC27.raw,10/30/2021 2:15:03 AM,Batch3,Sample,False
28,IQC28.raw,10/30/2021 4:29:46 AM,Batch3,Sample,True
29,IQC29.raw,10/30/2021 6:44:22 AM,Batch3,Sample,False
30,IQC30.raw,10/30/2021 8:59:09 AM,Batch3,Sample,True
31,IQC31.raw,10/30/2021 11:13:57 AM,Batch3,Sample,False
32,IQC32.raw,10/30/2021 2:32:39 PM,Batch3,Sample,False
33,IQC33.raw,10/30/2021 4:47:29 PM,Batch3,Sample,False
34,IQC34.raw,10/30/2021 7:02:17 PM,Batch3,Sample,False
35,IQC35.raw,10/30/2021 9:17:06 PM,Batch3,Sample,False
36,IQC36.raw,10/30/2021 11:31:54 PM,Batch3,Sample,False
37,IQC37.raw,10/31/2021 1:46:45 AM,Batch3,Sample,False
38,IQC38.raw,10/31/2021 4:01:40 AM,Batch3,Sample,False
39,IQC39.raw,10/31/2021 6:16:34 AM,Batch3,Sample,False
40,IQC40.raw,10/31/2021 9:35:35 AM,Batch3,Sample,False
41,IQC41.raw,10/31/2021 11:50:30 AM,Batch3,Sample,False
42,IQC42.raw,10/31/2021 2:05:26 PM,Batch3,Sample,False
43,IQC43.raw,10/31/2021 4:20:18 PM,Batch3,Sample,False
44,IQC44.raw,10/31/2021 6:35:13 PM,Batch3,Sample,False
45,IQC45.raw,10/31/2021 8:50:10 PM,Batch3,Sample,False
46,IQC46.raw,11/1/2021 12:09:27 AM,Batch3,Sample,False
47,IQC47.raw,11/1/2021 2:24:24 AM,Batch3,Sample,False
48,IQC48.raw,11/1/2021 4:39:25 AM,Batch3,Sample,False
49,IQC49.raw,11/1/2021 6:54:25 AM,Batch3,Sample,False
50,IQC50.raw,11/1/2021 9:09:27 AM,Batch3,Sample,False
51,IQC51.raw,11/1/2021 11:24:27 AM,Batch3,Sample,False
52,IQC52.raw,11/1/2021 1:39:32 PM,Batch3,Sample,False
53,IQC53.raw,11/1/2021 4:59:14 PM,Batch3,Sample,False
54,IQC54.raw,11/1/2021 7:14:19 PM,Batch3,Sample,False
55,IQC55.raw,11/1/2021 9:29:23 PM,Batch3,Sample,False
